Epoch: 1, Loss: 8.689183235168457
Epoch: 2, Loss: 8.557538032531738
Epoch: 3, Loss: 8.49274730682373
Epoch: 4, Loss: 8.439658164978027
Epoch: 5, Loss: 8.384790420532227
Epoch: 6, Loss: 8.318170547485352
Epoch: 7, Loss: 8.238404273986816
Epoch: 8, Loss: 8.159520149230957
Epoch: 9, Loss: 8.082242965698242
Epoch: 10, Loss: 8.000415802001953
Epoch: 11, Loss: 7.919947624206543
Epoch: 12, Loss: 7.83524751663208
Epoch: 13, Loss: 7.751718997955322
Epoch: 14, Loss: 7.67092227935791
Epoch: 15, Loss: 7.582407474517822
Epoch: 16, Loss: 7.509699821472168
Epoch: 17, Loss: 7.420796871185303
Epoch: 18, Loss: 7.341622829437256
Epoch: 19, Loss: 7.257319450378418
Epoch: 20, Loss: 7.171809196472168
Epoch: 21, Loss: 7.0920491218566895
Epoch: 22, Loss: 7.016907215118408
Epoch: 23, Loss: 6.95621395111084
Epoch: 24, Loss: 6.873110771179199
Epoch: 25, Loss: 6.784536838531494
Epoch: 26, Loss: 6.712737560272217
Epoch: 27, Loss: 6.640280246734619
Epoch: 28, Loss: 6.561672210693359
Epoch: 29, Loss: 6.4987969398498535
Epoch: 30, Loss: 6.429750919342041
Epoch: 31, Loss: 6.357032299041748
Epoch: 32, Loss: 6.282592296600342
Epoch: 33, Loss: 6.219738483428955
Epoch: 34, Loss: 6.15524959564209
Epoch: 35, Loss: 6.086489677429199
Epoch: 36, Loss: 6.015289783477783
Epoch: 37, Loss: 5.945896148681641
Epoch: 38, Loss: 5.885679721832275
Epoch: 39, Loss: 5.819064617156982
Epoch: 40, Loss: 5.753344535827637
Epoch: 41, Loss: 5.69606876373291
Epoch: 42, Loss: 5.63820219039917
Epoch: 43, Loss: 5.57894229888916
Epoch: 44, Loss: 5.511504650115967
Epoch: 45, Loss: 5.44992208480835
Epoch: 46, Loss: 5.395025253295898
Epoch: 47, Loss: 5.332797527313232
Epoch: 48, Loss: 5.272182464599609
Epoch: 49, Loss: 5.213414669036865
Epoch: 50, Loss: 5.157340049743652
Epoch: 51, Loss: 5.102155685424805
Epoch: 52, Loss: 5.049337863922119
Epoch: 53, Loss: 4.991791248321533
Epoch: 54, Loss: 4.934854507446289
Epoch: 55, Loss: 4.883560657501221
Epoch: 56, Loss: 4.831092834472656
Epoch: 57, Loss: 4.771141052246094
Epoch: 58, Loss: 4.72103214263916
Epoch: 59, Loss: 4.671810150146484
Epoch: 60, Loss: 4.612461090087891
Epoch: 61, Loss: 4.566051483154297
Epoch: 62, Loss: 4.518993377685547
Epoch: 63, Loss: 4.462407112121582
Epoch: 64, Loss: 4.4054694175720215
Epoch: 65, Loss: 4.356723785400391
Epoch: 66, Loss: 4.304587364196777
Epoch: 67, Loss: 4.258476257324219
Epoch: 68, Loss: 4.207923412322998
Epoch: 69, Loss: 4.162947177886963
Epoch: 70, Loss: 4.116147041320801
Epoch: 71, Loss: 4.064220905303955
Epoch: 72, Loss: 4.007900714874268
Epoch: 73, Loss: 3.972322702407837
Epoch: 74, Loss: 3.918919324874878
Epoch: 75, Loss: 3.8695216178894043
Epoch: 76, Loss: 3.8239641189575195
Epoch: 77, Loss: 3.772468328475952
Epoch: 78, Loss: 3.7249395847320557
Epoch: 79, Loss: 3.676597833633423
Epoch: 80, Loss: 3.632758617401123
Epoch: 81, Loss: 3.5840935707092285
Epoch: 82, Loss: 3.5374197959899902
Epoch: 83, Loss: 3.4947001934051514
Epoch: 84, Loss: 3.4484660625457764
Epoch: 85, Loss: 3.4062435626983643
Epoch: 86, Loss: 3.3568766117095947
Epoch: 87, Loss: 3.313856840133667
Epoch: 88, Loss: 3.2650766372680664
Epoch: 89, Loss: 3.2199594974517822
Epoch: 90, Loss: 3.1794240474700928
Epoch: 91, Loss: 3.131051778793335
Epoch: 92, Loss: 3.0861427783966064
Epoch: 93, Loss: 3.0446321964263916
Epoch: 94, Loss: 3.0002939701080322
Epoch: 95, Loss: 2.962411880493164
Epoch: 96, Loss: 2.916362762451172
Epoch: 97, Loss: 2.8732006549835205
Epoch: 98, Loss: 2.833284616470337
Epoch: 99, Loss: 2.792999267578125
Epoch: 100, Loss: 2.7507669925689697
